,,,,,,,,
,Schedule Maker,,,,,,,
,,,,,,,,
,,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY
,6:00 AM,FM,ENT,HCI,SPM,ML,SQE,ML
,:15,FM,ENT,HCI,SPM,ML,SQE,ML
,:30,FM,ENT,HCI,SPM,ML,SQE,ML
,:45,FM,ENT,HCI,SPM,ML,SQE,ML
,7:00 AM,Book Reading,Book Reading,Book Reading,Book Reading,Book Reading,Book Reading,Book Reading
,:15,Book Reading,Book Reading,Book Reading,Book Reading,Book Reading,Book Reading,Book Reading
,:30,Book Reading,Book Reading,Book Reading,Book Reading,Book Reading,Book Reading,Book Reading
,:45,Exercise / walking,Exercise / walking,Exercise / walking,Exercise / walking,Exercise / walking,Exercise / walking,Exercise / walking
,8:00 AM,Getting dressed,Getting dressed,Getting dressed,Getting dressed,Getting dressed,Getting dressed,Getting dressed
,:15,Messaging,Messaging,Messaging,Messaging,Messaging,Messaging,Messaging
,:30,LinkedIn posting,LinkedIn posting,LinkedIn posting,LinkedIn posting,LinkedIn posting,LinkedIn posting,LinkedIn posting
,:45,LinkedIn posting,LinkedIn posting,LinkedIn posting,LinkedIn posting,LinkedIn posting,LinkedIn posting,LinkedIn posting
,9:00 AM,Library,Library,Library,University lectures,Library,University lectures,Library
,:15,Library,Library,Library,University lectures,Library,University lectures,Library
,:30,Library,Library,Library,University lectures,Library,University lectures,Library
,:45,Library,Library,Library,University lectures,Library,University lectures,Library
,10:00 AM,Library,University lectures,Library,University lectures,University lectures,University lectures,Library
,:15,Library,University lectures,Library,University lectures,University lectures,University lectures,Library
,:30,Library,University lectures,Library,University lectures,University lectures,University lectures,Library
,:45,Library,University lectures,Library,University lectures,University lectures,University lectures,Library
,11:00 AM,Library,University lectures,University lectures,University lectures,University lectures,University lectures,Library
,:15,Library,University lectures,University lectures,University lectures,University lectures,University lectures,Library
,:30,Library,University lectures,University lectures,University lectures,University lectures,University lectures,Library
,:45,Library,University lectures,University lectures,University lectures,University lectures,University lectures,Library
,12:00 PM,Library,University lectures,University lectures,Library,University lectures,University lectures,Library
,:15,Library,University lectures,University lectures,Library,University lectures,University lectures,Library
,:30,Library,University lectures,University lectures,Library,University lectures,University lectures,Library
,:45,Library,University lectures,University lectures,Library,University lectures,University lectures,Library
,1:00 PM,Breaks,Breaks,Breaks,Breaks,Breaks,Breaks,Breaks
,:15,Breaks,Breaks,Breaks,Breaks,Breaks,Breaks,Breaks
,:30,Zuhr,Zuhr,Zuhr,Zuhr,Zuhr,Zuhr,Zuhr
,:45,Breaks,Breaks,Breaks,Breaks,Breaks,Breaks,Breaks
